Time,Thermistor,Potentiometer
1511,465,506
1512,465,506
1513,465,506
1514,465,506
1515,465,507
1516,465,506
1517,465,506
1518,465,507
1519,465,506
1520,465,506
1521,465,506
1522,465,507
1523,465,506
1524,465,506
1525,465,506
1526,465,506
1527,465,506
1528,465,506
1529,465,507
1530,465,506
1531,465,506
1532,465,506
1533,465,506
1534,465,506
1535,466,506
1536,465,506
1537,465,506
1538,466,506
1539,465,506
1540,465,506
1541,465,506
1542,465,506
1543,465,507
1544,465,506
1545,465,506
1546,466,506
1547,465,506
1548,466,506
1549,466,506
1550,465,506
1551,466,506
1552,465,506
1553,465,506
1554,465,506
1555,466,506
1556,465,506
1557,465,506
1558,466,506
1559,465,506
1560,465,506
1561,465,506
1562,466,506
1563,465,506
1564,465,506
1565,466,506
1566,466,507
1567,466,506
1568,466,506
1569,466,506
1570,465,507
1571,465,506
1572,465,506
1573,465,507
1574,465,506
1575,465,506
1576,466,506
1577,465,506
1578,465,506
1579,466,507
1580,465,506
1581,465,506
1582,466,506
1583,465,507
1584,465,506
1585,466,506
1586,466,507
1587,465,507
1588,465,506
1589,465,506
1590,465,507
1591,465,506
1592,465,506
1593,466,507
1594,465,507
1595,465,506
1596,466,506
1597,465,507
1598,466,506
1599,466,506
1600,466,507
1601,466,506
1602,466,506
1603,466,507
1604,465,507
1605,466,506
1606,466,506
1607,466,506
1608,465,506
1609,466,506
1610,466,507
1611,466,507
1612,465,507
1613,466,507
1614,466,507
1615,466,506
1616,466,506
1617,466,507
1618,465,506
1619,466,506
1620,466,507
1621,466,507
1622,465,507
1623,466,506
1624,466,507
1625,466,506
1626,466,506
1627,466,507
1628,465,507
1629,466,506
1630,466,507
1631,466,507
1632,466,506
1633,466,506
1634,466,507
1635,466,506
1636,466,507
1637,466,507
1638,465,507
1639,465,506
1640,466,506
1641,465,507
1642,466,507
1643,466,508
1644,466,509
1645,466,513
1646,465,516
1647,466,518
1648,466,523
1649,466,528
1650,466,533
1651,466,538
1652,466,545
1653,466,553
1654,466,559
1655,465,565
1656,466,572
1657,466,581
1658,466,591
1659,466,601
1660,466,611
1661,466,626
